# states	prove_ms_predicted	verify_ms_predicted	proof_bytes_predicted
32	21.13	0.6231	79374
48	48.77	0.7251	96635
64	88.29	0.8076	111113
80	139.92	0.8779	123822
96	203.81	0.9399	135277
112	280.13	0.9957	145785
128	368.99	1.0467	155545
144	470.50	1.0938	164695
160	584.74	1.1378	173335
176	711.82	1.1791	181541
192	851.80	1.2181	189371
208	1004.75	1.2552	196871
224	1170.75	1.2905	204081
240	1349.85	1.3242	211029
256	1542.11	1.3566	217744
272	1747.59	1.3877	224245
288	1966.33	1.4177	230552
304	2198.38	1.4467	236682
320	2443.80	1.4747	242648
336	2702.61	1.5019	248462
352	2974.87	1.5283	254135
368	3260.62	1.5539	259676
384	3559.88	1.5788	265096
400	3872.71	1.6032	270400
416	4199.12	1.6269	275596
432	4539.17	1.6500	280690
448	4892.87	1.6726	285688
464	5260.27	1.6947	290595
480	5641.38	1.7163	295415
496	6036.25	1.7375	300154
512	6444.89	1.7583	304814
528	6867.34	1.7787	309400
544	7303.63	1.7986	313916
560	7753.78	1.8182	318363
576	8217.81	1.8375	322745
592	8695.75	1.8565	327065
608	9187.63	1.8751	331326
624	9693.46	1.8934	335529
640	10213.28	1.9114	339677
656	10747.10	1.9291	343772
672	11294.94	1.9466	347816
688	11856.84	1.9638	351810
704	12432.79	1.9808	355757
720	13022.84	1.9975	359658
736	13626.99	2.0140	363515
752	14245.28	2.0303	367329
768	14877.71	2.0464	371101
784	15524.30	2.0622	374833
800	16185.08	2.0779	378527
816	16860.06	2.0933	382182
832	17549.26	2.1086	385800
848	18252.70	2.1237	389383
864	18970.40	2.1386	392932
880	19702.36	2.1533	396446
896	20448.62	2.1679	399928
912	21209.18	2.1823	403378
928	21984.06	2.1965	406797
944	22773.27	2.2106	410186
960	23576.84	2.2246	413545
976	24394.77	2.2384	416876
992	25227.09	2.2520	420179
1008	26073.80	2.2655	423454
1024	26934.93	2.2789	426703
1040	27810.48	2.2922	429925
1056	28700.47	2.3053	433123
1072	29604.92	2.3183	436295
1088	30523.83	2.3312	439443
1104	31457.22	2.3440	442568
1120	32405.11	2.3566	445669
1136	33367.51	2.3692	448747
1152	34344.43	2.3816	451804
1168	35335.88	2.3939	454838
1184	36341.88	2.4062	457851
1200	37362.44	2.4183	460843
1216	38397.56	2.4303	463815
1232	39447.28	2.4422	466767
1248	40511.58	2.4540	469699
1264	41590.50	2.4657	472612
1280	42684.03	2.4774	475506
1296	43792.20	2.4889	478381
1312	44915.01	2.5004	481238
1328	46052.47	2.5117	484077
1344	47204.59	2.5230	486899
1360	48371.40	2.5342	489703
1376	49552.89	2.5453	492491
1392	50749.08	2.5564	495262
1408	51959.97	2.5673	498016
1424	53185.59	2.5782	500755
1440	54425.93	2.5890	503478
1456	55681.02	2.5997	506185
1472	56950.86	2.6104	508877
1488	58235.46	2.6210	511553
1504	59534.83	2.6315	514215
1520	60848.98	2.6419	516863
1536	62177.92	2.6523	519496
1552	63521.66	2.6626	522115
1568	64880.21	2.6728	524721
1584	66253.58	2.6830	527312
1600	67641.78	2.6931	529891
1616	69044.82	2.7032	532456
1632	70462.71	2.7131	535008
1648	71895.46	2.7231	537547
1664	73343.07	2.7329	540073
1680	74805.56	2.7427	542587
1696	76282.93	2.7525	545089
1712	77775.20	2.7622	547578
1728	79282.37	2.7718	550056
1744	80804.45	2.7814	552522
1760	82341.45	2.7909	554976
1776	83893.38	2.8004	557419
1792	85460.25	2.8098	559850
1808	87042.06	2.8191	562270
1824	88638.82	2.8284	564680
1840	90250.55	2.8377	567078
1856	91877.25	2.8469	569466
1872	93518.93	2.8561	571843
1888	95175.60	2.8652	574210
1904	96847.26	2.8742	576566
1920	98533.92	2.8833	578912
1936	100235.59	2.8922	581249
1952	101952.29	2.9011	583575
1968	103684.01	2.9100	585891
1984	105430.76	2.9188	588198
2000	107192.56	2.9276	590496
2016	108969.41	2.9364	592783
2032	110761.31	2.9451	595062
2048	112568.28	2.9537	597331
2064	114390.32	2.9623	599591
2080	116227.44	2.9709	601843
2096	118079.65	2.9794	604085
2112	119946.95	2.9879	606318
2128	121829.36	2.9964	608543
2144	123726.87	3.0048	610759
2160	125639.50	3.0132	612967
2176	127567.26	3.0215	615166
2192	129510.14	3.0298	617358
2208	131468.16	3.0380	619540
2224	133441.33	3.0463	621715
2240	135429.64	3.0544	623882
2256	137433.12	3.0626	626040
2272	139451.76	3.0707	628191
2288	141485.57	3.0788	630334
2304	143534.56	3.0868	632469
2320	145598.73	3.0948	634597
2336	147678.10	3.1028	636717
2352	149772.67	3.1107	638830
2368	151882.44	3.1186	640935
2384	154007.42	3.1265	643033
2400	156147.62	3.1343	645124
2416	158303.04	3.1421	647208
2432	160473.70	3.1499	649284
2448	162659.59	3.1576	651354
2464	164860.72	3.1653	653416
2480	167077.11	3.1730	655472
2496	169308.75	3.1807	657521
2512	171555.65	3.1883	659563
2528	173817.82	3.1959	661599
2544	176095.27	3.2034	663627
2560	178388.00	3.2109	665650
2576	180696.01	3.2184	667665
2592	183019.32	3.2259	669675
2608	185357.92	3.2333	671678
2624	187711.83	3.2407	673674
2640	190081.05	3.2481	675665
2656	192465.59	3.2555	677649
2672	194865.45	3.2628	679627
2688	197280.63	3.2701	681599
2704	199711.15	3.2774	683565
2720	202157.01	3.2846	685525
2736	204618.22	3.2918	687479
2752	207094.78	3.2990	689427
2768	209586.69	3.3062	691369
2784	212093.97	3.3133	693306
2800	214616.61	3.3204	695237
2816	217154.63	3.3275	697162
2832	219708.03	3.3346	699081
2848	222276.81	3.3416	700995
2864	224860.98	3.3486	702904
2880	227460.55	3.3556	704807
2896	230075.51	3.3626	706704
2912	232705.89	3.3695	708596
2928	235351.67	3.3764	710483
2944	238012.88	3.3833	712365
2960	240689.50	3.3902	714241
2976	243381.56	3.3970	716112
2992	246089.04	3.4039	717978
3008	248811.97	3.4107	719838
3024	251550.34	3.4174	721694
3040	254304.15	3.4242	723545
3056	257073.42	3.4309	725390
3072	259858.15	3.4376	727231
3088	262658.34	3.4443	729067
3104	265474.01	3.4510	730897
3120	268305.14	3.4576	732723
3136	271151.76	3.4643	734545
3152	274013.86	3.4709	736361
3168	276891.45	3.4775	738173
3184	279784.53	3.4840	739979
3200	282693.11	3.4906	741782
3216	285617.20	3.4971	743579
3232	288556.79	3.5036	745372
3248	291511.90	3.5101	747161
3264	294482.53	3.5165	748945
3280	297468.68	3.5230	750724
3296	300470.36	3.5294	752499
3312	303487.57	3.5358	754270
